row_number,polarity,text
1,1,"[, Music, ], [ Applause, ], [, Music, ], [ Applause, ] FinTech discussion for this week is called financial technological"
2,1," Until the conversations we sided on Monday, we're gon na continue all through till next week"
3,1," So, let's bring in Aditi JLS show who is the managing partner at Sahab growth Africa to wrap up the program for a la 5 minutes with us today is good to have you good to be here"
4,1," This is about innovation and on your side, of the entire new thinking that we have in Nigeria and - and you guys are coming together to form something that banks technology companies, whatever even the government - can meet to be part of it"
5,1," So it's also on the innovation side of it, so it the innovation in terms of FinTech, you know, has to do with how to make financial services better"
6,1," Traditionally, FinTech was always about the back office of banks, a boy in in recent times"
7,1," We'Ve seen how you know innovators are coming and bringing technology into the space of financial services to make it more efficient, to make it cheaper to transact services and to make these financial services available to a larger audience"
8,1, As we know in the world there's to millions of people who don't have access to financial services
9,1,", so you find the innovation that is in many ways changing the way"
10,1," The conversation goes between financial services, players and the market and consumers"
11,1," So what do you see? This are you: do bring in innovation, on the side of capital, you bring in innovation in terms of brick and mortar technology, so energy innovation is a cross sport in capital, how people access capital, unable to then deploy that capital in creating services"
12,1, We also seen a lot of innovation in terms of brick and motar 20 years ago
13,1," Our branches were standard, we tell us, you know, and you have to walk in, but now we're having"
14,1," You know: branchless banking, we're having banking, where it's full of just ATMs"
15,1, We having banks and banking channels that you can deposit money so we're seeing that right across you seen
16,1," Innovations in even the way money's transferred are moved from one place to another, how people are able to pay for goods and services, and these are things that we struggled with"
17,1," You know 10, 15, 20 years ago, who has seen a lot more as the world is coming together as a global village"
18,1," As we say, we are seeing that breaking down borders and because we know payment permeates every single thing"
19,1," We do whether its food, whether it's housing, whether it's you know you know clothes and things, then it's important to have those innovations happen to improve transactions"
20,1, Those of us who are a little bit old school and a little bit wary of technology
21,0," I don't want to lose my money, so security, so for you, FinTech professionals, my key concern as an individual will be our safety of my password, my pin world, whatever a PIN number as and all those things that the security of the network I'm using, for example, To make transfers or to do whatever, yes, I mean very important, more important conversation"
22,1," Oh yeah! Definitely definitely you know what we need to see in renowned environments, the application of world standard security protocols to ensure that whilst those transactions are happening at those payments are happening, it's very secure"
23,1," Of course, we know that nothing is 100 % secure, but in as much as you know their protocols and that lots of innovations happening in that space"
24,1, What we need to do locally is to ensure that we applying those security protocols to ensure that there's a lot of confidence
25,1," Of course, this is a game where regulation comes in where regulation is in at par, or you know, in line with global best practices, then as a consumer as an end-user, an individual, then I'm more at home or attuned to trying out these new technologies, because I Know that this is what applies globally, but we've left the age where we can sit here and think that we're not connected we are connected"
26,1, So the important is to ensure that security protocols are adopted globally and innovations continue in that space to ensure that things get a lot more secure encryption
27,1," You know, SSL Security's, you know certificates as long as those are in play"
28,1," The mag gives the confidence with a lot of Education on the consumer side to be comforting to me, because folk says: well, I didn't make a transaction, but I just found out on my bank account that some money just disappeared and then the bank says come to The come tomorrow, one day, one week, two weeks, three weeks so far, four weeks to 30 days a month and and it's a trying to resolve it and said well what happen I'm sure this has some all the issues"
29,1, I want you professionals to give me some
30,1, Some some comforted solutions to in the days and weeks ahead
31,1," Thank you very much for being part of the program, thank all of the FinTech, a professional or the young and innovative guys here"
32,1, I'M also trying to be one of them I'll come back tomorrow and see if we can put something very nice and professional together and very interesting and innovative as well
33,1," We have 24 hours enjoy the rest of your day and I leave you in the hands of our news team, [, Music, ] "
34,1,Very much Ian and thank you all for joining today
35,1, I'Ve been teaching every year at at Melbourne Law School
36,1," I think for about eight years now - and I always enjoy the time that I have sometimes it's shorter than I would like, but inevitably I chanced to meet up with old friends and and collaborators so as special thanks to the loft school, the program and the Center For co-hosting this seminar today today, I'm talking about FinTech and we think about the past year or so"
37,0," Technology technology, like technological developments in finance and risks raised by technology in the financial sector, have been amongst the leading news stories, certainly over the past year"
38,1," I think, for the first time in the past eight years or so, there have been more stories about FinTech issues than there have been about financial crises issues and that high is a very positive change"
39,1," In my view, when we're talking about financial technology, we're talking about fed in tech, there tend to be three different strands of developments that are taking place all more or less"
40,1, At the same time
41,1," The first comes from over the past several years, particularly in the wake of the global financial crisis"
42,1, There has been an explosion in the number of small startups
43,1," Small firms often started by either people with technology backgrounds or financial sector backgrounds that are looking at new ways of doing things in the financial sector, with technology and certainly over the past couple of years"
44,1," This has been one of the major and most exciting developments, but at the same time there's another trend that dates back almost ten years now, and that is in the context of what is often called digital financial services"
45,1," This is the element where we are looking at use of technology, particularly in the context of financial inclusion and development in the context of developing countries, and much of this has been focused on mobile technology, mobile payments and development, such as in Pisa in Kenya"
46,1," But there's also a third strand to this area of FinTech of technology in the financial services sector, and that is a longer-term development, in particular in the international wholesale markets"
47,1, We look at this
48,1, There are two main strands where we've seen the most significant development
49,1," The first is in the context of payment systems, electronic payment systems like Swift systems like CLS all culminating in today's five and a half trillion dollar global foreign exchange markets"
50,1," The other aspect of this has been in the securities markets really dating back to the launch of Nasdaq as first electronic exchange, but very much Hulman aiding in today's high frequency and algorithmic trading, and this paper, which was part of a project jointly between myself, hi Janos, Barbarous and ross buckley first one paper that basically looks at the evolution of technology in the financial sector and at the moment and i'll, be speaking about this as well"
51,0," We'Re working on a second which is really looking at some of the issues of technology in regulation, and i think what is interesting is if we look at the global FinTech environment today"
52,1, It is really about these three different strands coming together and i think the key thing that we are seeing that is changing has to do with the question of who is applying technology in the financial sector
53,1," In other words, it is not just from the standpoint of traditional financial institutions, though, as it happens, traditional financial institutions remain one of the largest spenders on i"
54,1,"t globally spending in the neighborhood of about two hundred billion dollars a year on technology, and this is a trend That looks said if anything as a result of new competition to increase"
55,1," In addition, we are seeing an increasing number of large IT companies involved larger IT companies involved not only from the staff point of providing system, services and backups to traditional financial institutions, but IT companies"
56,1," Looking increasingly to compete directly with financial institutions via technology and perhaps the highest profile example of this comes from China in particular, Alibaba an e-commerce company which has become one of the most significant players in the Chinese financial services sector"
57,1," And finally, the new startups startups, which are either coming from people with tech backgrounds, but just as frequently coming from people with financial services backgrounds"
58,1, It'S interesting
59,1, I remember before the 2008 global financial crisis
60,1," If you would talk to someone who had just left an investment bank, invariably they had one of two plans: either they were going to open a hedge fund or they were going to open a restaurant"
61,1," Today, if you talk to someone who has left an investment bank most frequently they're starting a thin text that has very much replaced moving into fund management and the ones that are starting thin tech startups often have in mind starting the startup selling it to a bank"
62,1," In five years and then opening a restaurant, so things haven't changed that much the other aspect"
63,1," In addition to the who is the speed of development - and this poses a very particular challenge from the standpoint of regulation - and I think the example that we see most 20 in this context - is the launch by Alibaba of a money market mutual fund called you about That in ten months, went from nothing to almost a hundred billion dollars in assets"
64,1, It is now the world's fourth largest money market mutual fund
65,1, That is speed
66,1," Another aspect of speed which we have seen in the context of India, India, as a result of a variety of plans coming together on something that is increasingly called India stock, has successfully opened electronic accounts for a billion people in less than three years"
67,1," That is speed of development, and this combination of new players plus speed is having both a dramatic impact on financial services generally, but also closing very new challenges for regulators"
68,1," I think if we look at the evolution of Technology in the financial sector, this is actually something that finance and technology have always gone together and we actually mark the previous age of financial globalization at the end of the 19th century"
69,1," If we look at that first stage of financial globalization, what was it that brought together markets around the world? It was undersea Telegraph, cables, cables that made instantaneous communication first between New York and London and possible and, as cables were built between markets around the world, increasingly linked markets"
70,1," In this example, provided by the quote from Keynes, which highlights very much, I think the nature of globalization the same time, it's interesting to see last week, an announcement between Google and Facebook that they are putting in place a new transatlantic cable in order to support the Massive amounts of data that are being transferred across jurisdictions, so we can see very much this first stage of financial globalization, underpinned by technology as well"
71,1," And if we look at today's modern payment systems and even if we're looking at something like imp, ASA mobile payments based banking, very frequently, those mobile payment systems rest at their base on existing electronic payment systems established by central banks and banking systems and, of course, red Wire actually dates as a telegraphic money transfer system to 1918, but it's really the period in the aftermath of the Second World War, where we see the most important developments being laid across the Second World War"
72,1," Early development of computer technology, particularly in the context of code"
73,1," Breaking and we see in the aftermath of the Second World War, the increasing tech, increasing commercialization and development of that technology, we can see some early developments first, credit card 1950 telex, the predecessor of the fax machine, the predecessor, today's communication systems 1966"
74,1," But we actually mark 1967, the advent of the first ATM machine by Barclays, along with the first portable computer, the handheld calculator by Texas Instruments as the real mark of the digital transformation of financial services"
75,1, And I think that this quote from Paul Volcker
76,1," Sort of highlights that Volcker, of course, in this quote, is speaking in the aftermath of the global financial crisis and he has in mind innovations like CEOs and credit default swaps"
77,1," That, in his view, had marginal real value for the financial system"
78,1, But he is highlighting that the ATM that for him was the most important development in financial services of the past 20 years
79,1," We can see the basis of cross-border payment systems box chips to the late 1960s Swift, the basis of today's five trillion dollar a day"
80,1," Foreign exchange markets from 1973, and it is of course Swift and the bangladesh bank heist that has received some of the most headlines over the past couple of months and, of course, in some ways, the bangladesh bank ice brings together all of those different pieces"
81,0," When you have a group of hackers from we're not entirely sure where, at this point, hacking into the computer systems of the central bank of bangladesh, getting access to the swift payment system via the bangla centralized directing payments to be made from the bangladesh's central bank's accounts"
82,1," At the Federal Reserve Bank of New York to a large number of branches of different banks in the Philippines, where couriers are waiting to extract the cash and spirit it out of the country, it's a perfect movie"
83,1," If you think you couldn't come up with a better theme, but very much, this is highlighting vulnerabilities in the context of global payment system"
84,1," Swift links, 11,000 banks around the world via desktop access to and international payment system, and this is foundational to financial globalization"
85,1," As we know it, if we look at Nasdaq - and of course Nasdaq, as I mentioned, is the basis of today's high-frequency algorithmic trading, the stories of flash boards - and this is something that, if we think about it, dating back to 1987, 1987, almost 30 years after the 1987 market crash our best explanation, still of what happened is program 3"
86,1," What is program trading program trading is computerized, buy and sell orders that executed themselves automatically at preset price levels"
87,1," That indicates that by 1987, certainly in the wholesale securities markets, computerized trading already played a dominant role"
88,1," Of course, we see similar things today, most recently a flash crash in China's futures markets yesterday previous flash crashes in the United States and in other markets"
89,1," If we look at global security trading today, the vast majority of trading does not take place between human beings"
90,1," It takes place between computers, questions of fairness about setting hedge fund or trading servers next to the exchange server in order to get time and values"
91,1," If you spend some time today, talking to a hedge fund manager, the hedge fund managers life in some ways increasingly resembles something out of the matrix or the terminator"
92,1," In other words, the hedge fund manager knows that he or she is not trading with human beings"
93,1," That anytime, he or she undertakes any action in the markets"
94,1, That action will be immediately probed by a large number of different computerized systems
95,1," If we look at some of the most recent statistics in the United States, something like 90 % of buy and sell orders are cancelled before they're execute"
96,0, These are simply computerized programs that are directing trying to search out price directions
97,1," So I think that is an interesting angle and if we think of startups, we often think of FinTech startups as a new trend and certainly in terms of numbers"
98,1, It is but in many ways one can actually think of Bloomberg as one of the world's first fit intact startups
99,1, What was Bloomberg's background? He was in IT in Salomon Brothers
100,1, He was setting up computerized systems to support Salomon Brothers trading and risk management activities
101,1," He took those ideas established a startup firm with investment from Salomon Brothers, looking much like today's accelerators set up by financial institutions and certainly by the mid-1980s, we see Bloomberg terminals as a normal fixture on financial institution trading desks around the world and of course one cannot Ignore that, if Wilkes, if you look at the LIBOR or Forex scandals, much of the activity in the context of market collusion was taking place where, in Bloomberg, secure communications chat rooms"
102,1, The mobile phone of course comes out in the 1980s and this is not only the basis of digital financial services
103,1," Mobile payments in developing countries, but eventually of the smartphone, but somewhat amazing"
104,1," To think that next year, 2017 will only be the tenth anniversary of the iPhone, and in that less than 10 years, the smartphone in particular, has had an absolutely transformative impact on the way that we do almost everything, including financial services, online banking dates to the early 1980S by 2001, eight banks in the United States each have over a million online banking customers and, of course, if we think about technology in the context of risk management, the 1990s were really the and a value at risk models"
105,1, This was the period when investment banks began hiring very aggressively physics and computer science graduates in order to develop highly sophisticated risk management techniques
106,1, We suggest that in many ways the 2008 financial crisis was a break that 2008
107,1," The 2008 crisis has transformed this aspect of the WHO and the speed first from the standpoint of post crisis regulatory reforms, post crisis regulatory reforms have come at this from a number of different angles"
108,1," First is that each time a financial institution is faced with a new regulatory requirement, one of the first things that financial institution will do is develop an IT system to implement those requirements so direct-drive"
109,1," Second, we have seen financial institutions as a result of post crisis"
110,1," Regulatory reforms exiting a wide range of different lines of business, and this has led, in addition to exiting lines"
111,1," Business has also been a continual process of downsizing and job losses, and in many cases this has driven former investment and other financial sector staff to look for new opportunities, often by creating startups in areas which their former employers have decided to exit financing games"
112,1," The fact that we have had problems, in particular in most countries, with financing for small and medium-sized enterprises, as well as issues not only in developing countries, but also in developed countries of financial inclusion and access to financial services"
113,1, Where we have had an increasing number of startups stepping into and of course one cannot ignore the fact of Technology
